,names,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
4477,"LoanAmount,DocumentCharge,EMI,InsuranceRate,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
4480,"LoanAmount,DocumentCharge,EMI,InsuranceRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4483,"loantype,InterestRate,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4485,"loantype,InterestRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4491,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4505,"LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4506,"LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4508,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4509,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4515,"DocumentCharge,InsuranceRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4516,"DocumentCharge,InsuranceRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.39,0.61,0.03
4517,"loantype,LoanAmount,InterestRate,InsuranceAmount,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
4518,"loantype,LoanAmount,InterestRate,InsuranceAmount,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4519,"loantype,LoanAmount,InterestRate,InsuranceAmount,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4520,"loantype,LoanAmount,InterestRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4521,"loantype,LoanAmount,InterestRate,InsuranceAmount,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4522,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4523,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4524,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4526,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.57,0.43,0.03
4527,"loantype,DocumentCharge,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4529,"loantype,DocumentCharge,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.39,0.61,0.03
4530,"loantype,DocumentCharge,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4531,"loantype,DocumentCharge,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.33,0.67,0.03
4540,"InsuranceRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4541,"InsuranceRate,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.37,0.63,0.03
4542,"LoanAmount,InterestRate,InsuranceRate/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
4544,"LoanAmount,InterestRate,InsuranceRate/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4548,"loantype,InterestRate,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4549,"loantype,InterestRate,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4554,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4555,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4561,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4566,"loantype,LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4567,"LoanAmount,DocumentCharge,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4569,"LoanAmount,DocumentCharge,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4570,"LoanAmount,DocumentCharge,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4571,"LoanAmount,DocumentCharge,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4572,"loantype,DocumentCharge,InterestRate,InsuranceRate,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4575,"loantype,DocumentCharge,InterestRate,InsuranceRate,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4585,"loantype,InterestRate,InsuranceRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4587,"RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4592,"loantype,LoanAmount,InterestRate/3.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4594,"loantype,LoanAmount,InterestRate/4.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4596,"loantype,LoanAmount,InterestRate/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4597,"LoanAmount,EMI,InterestRate,InsuranceRate/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
4602,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4603,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4604,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4605,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4606,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4607,"loantype,InterestRate,InsuranceRate,InsuranceAmount/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4610,"loantype,InterestRate,InsuranceRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4611,"loantype,InterestRate,InsuranceRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4614,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4618,"DocumentCharge,InterestRate,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
4619,"DocumentCharge,InterestRate,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4621,"DocumentCharge,InterestRate,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.33,0.67,0.03
4622,"LoanAmount,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4623,"LoanAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4624,"LoanAmount,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4627,"loantype,LoanAmount,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4630,"loantype,LoanAmount,InterestRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4631,"DocumentCharge,InterestRate/3.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4632,"DocumentCharge,InterestRate/2.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4633,"DocumentCharge,InterestRate/4.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4634,"DocumentCharge,InterestRate/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4635,"DocumentCharge,InterestRate/5.csv",0.0,0.97,0.03,0.0,0.33,0.67,0.03
4639,"loantype,LoanAmount,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4640,"loantype,LoanAmount,InsuranceAmount,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4648,"LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4650,"LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4651,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4654,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4655,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4660,"loantype,DocumentCharge,InsuranceAmount,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4665,"InterestRate,InsuranceRate,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4666,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4668,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4671,"LoanAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4672,"LoanAmount,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4677,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4678,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4680,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4685,"loantype,LoanAmount,EMI,InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4687,"LoanAmount,DocumentCharge,EMI,InterestRate/2.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4689,"LoanAmount,DocumentCharge,EMI,InterestRate/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4692,"loantype,LoanAmount,InsuranceAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4693,"loantype,LoanAmount,InsuranceAmount/4.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4694,"loantype,LoanAmount,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4697,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4698,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4700,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4703,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4707,"EMI,InterestRate,InsuranceRate,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4714,"DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4717,"DocumentCharge,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4726,"InterestRate,InsuranceRate,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
4733,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4734,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4737,"DocumentCharge,EMI,InsuranceAmount,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4738,"DocumentCharge,EMI,InsuranceAmount,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4739,"DocumentCharge,EMI,InsuranceAmount,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4742,"DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
4745,"DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4747,"EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4749,"EMI,InterestRate,InsuranceRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4752,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4755,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4756,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4759,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4761,"loantype,LoanAmount,DocumentCharge,InterestRate,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4762,"loantype,LoanAmount,DocumentCharge,InterestRate,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4763,"loantype,LoanAmount,DocumentCharge,InterestRate,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4764,"loantype,LoanAmount,DocumentCharge,InterestRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
4765,"loantype,LoanAmount,DocumentCharge,InterestRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4766,"LoanAmount,InterestRate,InsuranceAmount/3.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4768,"LoanAmount,InterestRate,InsuranceAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4769,"LoanAmount,InterestRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4770,"LoanAmount,InterestRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.38,0.62,0.03
4771,"LoanAmount,InterestRate,InsuranceRate,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
4773,"LoanAmount,InterestRate,InsuranceRate,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4776,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4777,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4778,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4779,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
4780,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4783,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4786,"LoanAmount,InterestRate,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
4788,"LoanAmount,InterestRate,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4789,"LoanAmount,InterestRate,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4790,"LoanAmount,InterestRate,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4793,"InsuranceRate,InsuranceAmount/4.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4794,"InsuranceRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4795,"InsuranceRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4796,"EMI,InsuranceAmount,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4801,"LoanAmount,EMI,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4802,"LoanAmount,EMI,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.59,0.41,0.03
4803,"LoanAmount,EMI,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4806,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4809,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4810,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4811,"loantype,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4812,"loantype,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4813,"loantype,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4814,"loantype,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4815,"loantype,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4816,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4819,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4821,EMI/3.csv,0.0,0.97,0.03,0.0,0.48,0.52,0.03
4823,EMI/4.csv,0.0,0.97,0.03,0.0,0.45,0.55,0.03
4826,"LoanAmount,DocumentCharge,InsuranceAmount,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4828,"LoanAmount,DocumentCharge,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4831,"loantype,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4832,"loantype,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4833,"loantype,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4836,"loantype,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4839,"loantype,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4841,"LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4842,"LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4843,"LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4845,"LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4849,"InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4851,"loantype,LoanAmount,DocumentCharge,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
4852,"loantype,LoanAmount,DocumentCharge,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4853,"loantype,LoanAmount,DocumentCharge,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4854,"loantype,LoanAmount,DocumentCharge,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4855,"loantype,LoanAmount,DocumentCharge,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4856,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4860,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4861,"EMI,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4862,"EMI,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4867,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4870,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4872,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4875,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4881,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
4883,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4888,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4891,"LoanAmount,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4892,"LoanAmount,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4893,"LoanAmount,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4895,"LoanAmount,DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4899,"LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4900,"LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4904,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4906,"LoanAmount,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
4907,"LoanAmount,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4908,"LoanAmount,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
4910,"LoanAmount,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
4913,"DocumentCharge,InsuranceRate,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
4914,"DocumentCharge,InsuranceRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
4915,"DocumentCharge,InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
4919,"loantype,LoanAmount,DocumentCharge,EMI,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4920,"loantype,LoanAmount,DocumentCharge,EMI,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4922,"LoanAmount,DocumentCharge,EMI,InterestRate,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
4925,"LoanAmount,DocumentCharge,EMI,InterestRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
4926,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
4927,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
4929,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
4930,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
4931,"loantype,LoanAmount,EMI,InterestRate,InsuranceAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
