Name,Designation,DOB,URL,Constituency,Remarks
Ehsan-ul-Haque Ch.,Member of Punjab Assembly (Provincial),18th October 1965,https://www.pap.gov.pk/members/profile/en/21/1493,PP-249 (Bahawalpur-V ),"{'Affiliated Party': 'Pakistan Muslim League', 'Academic Qualifications': 'MA', 'Email': 'pp.249@pap.gov.pk', ""Father's/Husband's Name"": 'Mukhtar Ahmed', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Bahawalpur', 'Religion': 'Islam'}"
Choudhary Khush Akhtar Subhani,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1291,PP-38 ( Sialkot-IV ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.38@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Choudhary Ashraf Ali,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1310,PP-57 (Gujranwala-VII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.57@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Chaudry Akhtar Ali,Member of Punjab Assembly (Provincial),1st January 1953,https://www.pap.gov.pk/members/profile/en/21/1403,PP-154 ( Lahore-XI ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.154@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudry Rehmat Ali', 'Religion': 'Islam'}"
Chaudhry Naveed Ashraf,Member of Punjab Assembly (Provincial),7th May 1966,https://www.pap.gov.pk/members/profile/en/21/1296,PP-43 ( Sialkot-IX ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.43@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhry Muhammad Ashraf', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Bhallowali, Sialkot', 'Religion': 'Islam'}"
Chaudhry Liaqat Ali,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1286,PP-33 (Gujrat-VI ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.33@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Chaudhry Arshad Javaid Warraich,Member of Punjab Assembly (Provincial),13th December 1956,https://www.pap.gov.pk/members/profile/en/21/1297,PP-44 (Sialkot-X ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.44@pap.gov.pk', ""Father's/Husband's Name"": 'Muhammad Hussain', 'Religion': 'Islam'}"
Chaudhry Adil Buksh Chattha,Member of Punjab Assembly (Provincial),23rd January 1981,https://www.pap.gov.pk/members/profile/en/21/1305,PP-52 ( Gujranwala-II ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['LL.M.', 'L.L.B (Hons)'], 'Email': 'pp.52@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhary Shaukat Hayat', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Chaudhary Waqar Ahmad Cheema,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1312,PP-59 (Gujranwala-IX ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.59@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Chaudhary Muhammad Shafiq Anwar,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1510,PP-267 ( Rahim Yar Khan-XIII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.267@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Chaudhary Muhammad Iqbal,Member of Punjab Assembly (Provincial),6th July 1943,https://www.pap.gov.pk/members/profile/en/21/1316,PP-63 (Gujranwala-XIII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.63@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhary Sultan Ahmed', 'Marital Status': 'Married', 'Place of Birth': 'Gurdaspur, India', 'Religion': 'Islam'}"
Chaudhary Muhammad Adnan,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1265,PP-11 ( Rawalpindi-VI ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'B.Com', 'Email': 'pp.11@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhary Muhammad Jan', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Rawalpindi', 'Religion': 'Islam'}"
Chaudhary Mazhar Iqbal,Member of Punjab Assembly (Provincial),15th August 1961,https://www.pap.gov.pk/members/profile/en/21/1487,PP-243 ( Bahawalnagar-VII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['MBBS', 'M.S. (Orthopaedics)'], 'Email': 'pp.243@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhary Abdul Gafoor', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Bahawalnagar', 'Religion': 'Islam'}"
Chaudhary Iftikhar Hussain,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1334,PP-81 ( Sargodha-X ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.81@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Chaudhary Faisal Farooq Cheema,Member of Punjab Assembly (Provincial),10th October 1973,https://www.pap.gov.pk/members/profile/en/21/1329,PP-76 ( Sargodha-V ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'MA', 'Email': 'pp.76@pap.gov.pk', ""Father's/Husband's Name"": 'Chaudhary Farooq Akram Cheema', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Sargodha', 'Religion': 'Islam'}"
Ch. Muhammad Yousaf Kaselya,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1473,PP-229 ( Vehari-I ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'MA', 'Email': 'pp.229@pap.gov.pk', ""Father's/Husband's Name"": 'Haji Ghulam Ali', 'Marital Status': 'Married', 'Children': '1', 'Place of Birth': 'Vehari', 'Religion': 'Islam'}"
Ch. Irfan Bashir,Member of Punjab Assembly (Provincial),12th June 1979,https://www.pap.gov.pk/members/profile/en/21/1317,PP-64 (Gujranwala-XIV ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'MA', 'Email': 'pp.64@pap.gov.pk', ""Father's/Husband's Name"": 'Ch. Bashir Ahmad', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Gujranwala', 'Religion': 'Islam'}"
Ch. Faqir Hussain Dogar,Member of Punjab Assembly (Provincial),1st March 1959,https://www.pap.gov.pk/members/profile/en/21/1367,PP-116 ( Faisalabad-XX ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.116@pap.gov.pk', ""Father's/Husband's Name"": 'Ch. Fazal Din', 'Religion': 'Islam'}"
Ghanzafer Abbas,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1343,PP-91 ( Bhakkar-III ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.91@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Hamid Rashid,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1368,PP-117 (Faisalabad-XXI ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.117@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Hameeda Mian,Member of Punjab Assembly (Provincial),4th January 1976,https://www.pap.gov.pk/members/profile/en/21/1318,PP-65 (Mandi Bahauddin-I ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'B.Sc.', 'Email': 'pp.65@pap.gov.pk', ""Father's/Husband's Name"": 'Mian Waheed-u-din', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Mandi Bahauddin', 'Religion': 'Islam'}"
Hafiz Ammar Yasir,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1278,PP-24 (Chakwal-IV ),"{'Affiliated Party': 'Pakistan Muslim League', 'Email': 'pp.24@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Gulraiz Afzal Gondal,Member of Punjab Assembly (Provincial),12th August 1971,https://www.pap.gov.pk/members/profile/en/21/1321,PP-68 (Mandi Bahauddin-IV ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'BA', 'Email': 'pp.68@pap.gov.pk', ""Father's/Husband's Name"": 'Haji Muhammad Afzal Chan', 'Marital Status': 'Married', 'Children': '4', 'Place of Birth': 'Mandi Baha-ud-Din', 'Religion': 'Islam'}"
Gulnaz Shahzadi,Member of Punjab Assembly (Provincial),18th April 1968,https://www.pap.gov.pk/members/profile/en/21/1582,W-342,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['B.Ed.', 'B.Sc.', 'M.Ed.'], 'Email': 'hyder_shujat@hotmail.com', ""Father's/Husband's Name"": 'Shujaat Ali Shah', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Ghulam Raza Rabaira,Member of Punjab Assembly (Provincial),18th December 1982,https://www.pap.gov.pk/members/profile/en/21/1436,PP-190 ( Okara-VIII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['M.Sc.', 'L.L.B'], 'Email': 'pp.190@pap.gov.pk', ""Father's/Husband's Name"": 'Ghulam Abbas', 'Marital Status': 'Married', 'Children': '1', 'Place of Birth': 'Okara', 'Religion': 'Islam'}"
Ghulam Ali Asghar Khan Lahry,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1333,PP-80 ( Sargodha-IX ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.80@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Ghaznfar Abbas Shah,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1378,PP-128 ( Jhang-V ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.128@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Ghazanfar Ali Khan,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1499,PP-255 (Rahim Yar Khan-I ),"{'Affiliated Party': 'Pakistan Peoples Party (Parliamentarian)', 'Email': 'pp.255@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Ghazali Saleem Butt,Member of Punjab Assembly (Provincial),19th March 1959,https://www.pap.gov.pk/members/profile/en/21/1394,PP-145 (Lahore-II ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'Matriculation', 'Email': 'pp.145@pap.gov.pk', ""Father's/Husband's Name"": 'Muhammad Saleem Butt', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Firdous Rahna,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1544,W-304,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'w.304@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Fida Hussain,Member of Punjab Assembly (Provincial),1st January 1960,https://www.pap.gov.pk/members/profile/en/21/1481,PP-237 ( Bahawalnagar-I ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.237@pap.gov.pk', ""Father's/Husband's Name"": 'Mian Nazar Muhammad', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Bahawalnagar', 'Religion': 'Islam'}"
Fayaz-ul-Hasan Chohan,Member of Punjab Assembly (Provincial),21st May 1970,https://www.pap.gov.pk/members/profile/en/21/1271,PP-17 ( Rawalpindi-XII ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'MA', 'Email': 'pp.17@pap.gov.pk', ""Father's/Husband's Name"": 'Ch. Abdul Aziz  Khaksar', 'Marital Status': 'Married', 'Children': '7', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Fawaz Ahmed,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1618,PP-261 ( Rahim Yar Khan-VII ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.261@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Fateh Khaliq,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1335,PP-82 ( Khushab-I ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.82@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Farhat Farooq,Member of Punjab Assembly (Provincial),1st January 1962,https://www.pap.gov.pk/members/profile/en/21/1555,W-315,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'Matriculation', 'Email': 'w.315@pap.gov.pk', ""Father's/Husband's Name"": 'Farooq Ahmad', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Farah Agha,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1564,W-324,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'w.324@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Faiza Mushtaq,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1592,W-352,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'w.352@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Faisal Hayat,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1375,PP-125 ( Jhang-II ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.125@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Jafar Ali,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1623,PP-103 ( Faisalabad-VII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.103@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Khadija Umer,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1600,W-362,"{'Affiliated Party': 'Pakistan Muslim League', 'Email': 'w.362@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Kashif Mehmood,Member of Punjab Assembly (Provincial),4th July 1974,https://www.pap.gov.pk/members/profile/en/21/1485,PP-241 ( Bahawalnagar-V ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'B.B.A', 'Email': 'pp.241@pap.gov.pk', ""Father's/Husband's Name"": 'Sufi Khalid Mehmood', 'Place of Birth': 'Haroon Abad', 'Religion': 'Islam'}"
Kashif Ali Chishty,Member of Punjab Assembly (Provincial),7th December 1972,https://www.pap.gov.pk/members/profile/en/21/1441,PP-195 (Pakpattan-V ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'MBA', 'Email': 'pp.195@pap.gov.pk', ""Father's/Husband's Name"": 'Pir Allahyar Chishty', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Kanwal Pervaiz Ch.,Member of Punjab Assembly (Provincial),12th September 1981,https://www.pap.gov.pk/members/profile/en/21/1581,W-341,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['MA', 'L.L.B'], 'Email': 'w.341@pap.gov.pk', ""Father's/Husband's Name"": 'Liaquat Ali', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Jamkay Cheema, Sialkot', 'Religion': 'Islam'}"
Joyoc Rufin Julius,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1607,NM-369,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'nm.369@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Christianity'}"
Javed Kausar,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1263,PP-8 ( Rawalpindi-III ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.8@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Javed Allo-ud-Din Sajid,Member of Punjab Assembly (Provincial),27th March 1965,https://www.pap.gov.pk/members/profile/en/21/1429,PP-183 (Okara-I ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.183@pap.gov.pk', ""Father's/Husband's Name"": 'Ch. Allo-ud-Din Sajid', 'Place of Birth': 'Okara', 'Religion': 'Islam'}"
Javed Akhter,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1460,PP-215 (Multan-V ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.215@pap.gov.pk', ""Father's/Husband's Name"": 'Mian Ghulam Rasool', 'Marital Status': 'Married', 'Children': '4', 'Place of Birth': 'Multan', 'Religion': 'Islam'}"
Javed Akhtar,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1529,PP-287 (Dera Ghazi Khan-III ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.287@pap.gov.pk', ""Father's/Husband's Name"": 'Sardar Khalil-ur-Rehman Khan', 'Religion': 'Islam'}"
Jahangir Khanzada,Member of Punjab Assembly (Provincial),8th July 2018,https://www.pap.gov.pk/members/profile/en/21/1258,PP-2 ( Attock-II ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'MBA', 'Email': 'pp.2@pap.gov.pk', ""Father's/Husband's Name"": 'Col (R) Shuja Khanzada Shaheed', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Peshawar', 'Religion': 'Islam'}"
Ishrat Ashraf,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1574,W-334,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'w.334@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Imran Khalid Butt,Member of Punjab Assembly (Provincial),3rd July 2018,https://www.pap.gov.pk/members/profile/en/21/1307,PP-54 (Gujranwala-IV ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.54@pap.gov.pk', ""Father's/Husband's Name"": 'Khalid Pervaiz Butt', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Gujranwala', 'Religion': 'Islam'}"
Ijaz Masih,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1603,NM-365,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'nm.365@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Christianity'}"
Ijaz Ahmad,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1525,PP-283 ( Layyah-IV ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.283@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Iftikhar Ahmed Khan,Member of Punjab Assembly (Provincial),27th November 1969,https://www.pap.gov.pk/members/profile/en/21/1621,PP-3 ( Attock-III ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.3@pap.gov.pk', ""Father's/Husband's Name"": 'Aziz Ahmed Khan', 'Marital Status': 'Married', 'Children': '2', 'Place of Birth': 'Fateh Jangh', 'Religion': 'Islam'}"
Hina Pervaiz Butt,Member of Punjab Assembly (Provincial),19th January 1982,https://www.pap.gov.pk/members/profile/en/21/1576,W-336,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['MBA', 'Master of Arts (International Relations)'], 'Email': 'w.336@pap.gov.pk', ""Father's/Husband's Name"": 'Pervaiz Akhtar Butt', 'Marital Status': 'Married', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Haseena Begum,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1584,W-344,"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'w.344@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Haroon Imran Gill,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1602,NM-364,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'nm.364@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Christianity'}"
Hamid Yar Hiraj,Member of Punjab Assembly (Provincial),10th December 1972,https://www.pap.gov.pk/members/profile/en/21/1450,PP-205 ( Khanewal-III ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.205@pap.gov.pk', ""Father's/Husband's Name"": 'Sardar Allah Yar Hiraj', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Multan', 'Religion': 'Islam'}"
Khawaja Salman Rafiq,Member of Punjab Assembly (Provincial),16th February 1965,https://www.pap.gov.pk/members/profile/en/21/1405,PP-157 (Lahore-XIV ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.157@pap.gov.pk', ""Father's/Husband's Name"": 'Khawaja Muhammad Rafiq', 'Religion': 'Islam'}"
Major (R) Muhammad Latasub Satti,Member of Punjab Assembly (Provincial),10th October 1950,https://www.pap.gov.pk/members/profile/en/21/1261,PP-6 ( Rawalpindi-I ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': ['Matriculation', 'Army Special Certification of Education'], 'Email': 'pp.6@pap.gov.pk', ""Father's/Husband's Name"": 'Sardar Khan', 'Marital Status': 'Married', 'Children': '6', 'Place of Birth': 'Rawalpindi', 'Religion': 'Islam'}"
Mahmood Ul Haq,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1390,PP-141 (Sheikhupura-VII ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.141@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Mahinder Pall Singh,Member of Punjab Assembly (Provincial),2nd July 1986,https://www.pap.gov.pk/members/profile/en/21/1604,NM-366,"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'MBA', 'Email': 'nm.366@pap.gov.pk', ""Father's/Husband's Name"": 'Rowail Singh', 'Marital Status': 'Married', 'Children': '1', 'Place of Birth': 'Nankana Sahib', 'Religion': 'Sikhism'}"
Lt Col (Retd) Sardar Muhammad Ayub Khan Ghadi,Member of Punjab Assembly (Provincial),14th March 1961,https://www.pap.gov.pk/members/profile/en/21/1370,PP-120 (Toba Tek Singh-III ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': ['L.L.B', 'BA'], 'Email': 'pp.120@pap.gov.pk', ""Father's/Husband's Name"": 'Sardar Muhammad Murad Khan', 'Marital Status': 'Married', 'Place of Birth': 'Toba Tek Singh', 'Religion': 'Islam'}"
Liaqat Ali Khan,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1330,PP-77 ( Sargodha-VI ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.77@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Liaqat Ali,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1292,PP-39 ( Sialkot-V ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Email': 'pp.39@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Lala Muhammad Tahir Randhawa,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1524,PP-282 ( Layyah-III ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.282@pap.gov.pk', ""Father's/Husband's Name"": 'Muhammad Yaqoob', 'Marital Status': 'Married', 'Children': '3', 'Place of Birth': 'Chowk Azam, District Layyah', 'Religion': 'Islam'}"
Khurram Sohail Khan Laghari,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1517,PP-275 ( Muzaffargarh-VIII ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.275@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Khurram ljaz,Member of Punjab Assembly (Provincial),10th September 1980,https://www.pap.gov.pk/members/profile/en/21/1386,PP-136 (Sheikhupura-II ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Academic Qualifications': 'M.Sc.', 'Email': 'pp.136@pap.gov.pk', ""Father's/Husband's Name"": 'Ijaz Ahmed', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
Khayal Ahmad,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1361,PP-110 ( Faisalabad-XIV ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.110@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Khawaja Muhammad Waseem,Member of Punjab Assembly (Provincial),17th April 1969,https://www.pap.gov.pk/members/profile/en/21/1303,PP-50 (Narowal-V ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'F.A', 'Email': 'pp.50@pap.gov.pk', ""Father's/Husband's Name"": 'Khawaja Amanullah', 'Marital Status': 'Married', 'Place of Birth': 'Narowal', 'Religion': 'Islam'}"
Khawaja Muhammad Mansha Ullah Butt,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1290,PP-37 ( Sialkot-III ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.37@pap.gov.pk', ""Father's/Husband's Name"": 'Khawaja Muhammad Abdullah Butt', 'Marital Status': 'Married', 'Children': '5', 'Place of Birth': 'Sialkot', 'Religion': 'Islam'}"
Khawaja Muhammad Daud Sulamani,Member of Punjab Assembly (Provincial),,https://www.pap.gov.pk/members/profile/en/21/1527,PP-285 (Dera Ghazi Khan-I ),"{'Affiliated Party': 'Pakistan Tehreek-e-Insaf', 'Email': 'pp.285@pap.gov.pk', ""Father's/Husband's Name"": '.', 'Religion': 'Islam'}"
Khawaja Imran Nazeer,Member of Punjab Assembly (Provincial),18th November 1974,https://www.pap.gov.pk/members/profile/en/21/1402,PP-153 ( Lahore-X ),"{'Affiliated Party': 'Pakistan Muslim League (Nawaz)', 'Academic Qualifications': 'BA', 'Email': 'pp.153@pap.gov.pk', ""Father's/Husband's Name"": 'Khawaja Nazeer Ahmed', 'Marital Status': 'Married', 'Place of Birth': 'Lahore', 'Religion': 'Islam'}"
